0	0.0
2	55.3
4	102.0
6	143.0
8	180.0
10	213.0
12	244.0
14	271.0
16	293.0
18	312.0
20	324.0
22	335.0
24	345.0
26	362.0
28	369.0
30	375.0
32	381.0
34	390.0
36	393.0
38	388.0
40	383.0
42	381.0
44	382.0
46	383.0
48	380.0
50	377.0
52	380.0
54	380.0
56	373.0
58	362.0
60	349.0
62	344.0
64	338.0
66	333.0
68	330.0
70	322.0
72	318.0
74	313.0
76	309.0
78	309.0
80	302.0
82	299.0
84	297.0
86	291.0
88	285.0
90	282.0
92	280.0
94	273.0
96	264.0
98	251.0
100	230.0
102	214.0
104	204.0
106	198.0
108	191.0
110	190.0
112	190.0
114	190.0
116	186.0
118	179.0
120	169.0
122	160.0
124	152.0
126	145.0
128	137.0
130	131.0
132	124.0
134	121.0
136	115.0
138	111.0
140	105.0
142	99.5
144	96.2
146	88.8
148	82.3
150	73.1
152	64.7
154	57.2
156	48.8
158	39.0
160	31.3
162	30.3
164	30.3
166	30.4
168	32.4
170	35.1
172	37.3
174	42.4
176	47.3
178	51.0
180	57.8
182	65.5
184	69.0
186	70.1
188	72.7
190	78.6
192	81.9
194	83.6
196	82.2
198	84.5
200	87.8
202	94.5
204	98.9
206	101.0
208	106.0
210	112.0
212	116.0
214	122.0
216	129.0
218	133.0
220	138.0
222	143.0
224	147.0
226	153.0
228	158.0
230	162.0
232	167.0
234	171.0
236	180.0
238	191.0
240	203.0
242	213.0
244	222.0
246	230.0
248	240.0
250	249.0
252	259.0
254	271.0
256	284.0
258	296.0
260	310.0
262	327.0
264	338.0
266	353.0
268	369.0
270	380.0
272	391.0
274	402.0
276	414.0
278	426.0
280	438.0
282	446.0
284	455.0
286	464.0
288	470.0
290	474.0
292	479.0
294	486.0
296	488.0
298	492.0
300	498.0
302	504.0
304	512.0
306	520.0
308	523.0
310	525.0
312	530.0
314	531.0
316	529.0
318	529.0
320	529.0
322	529.0
324	525.0
326	520.0
328	509.0
330	496.0
332	486.0
334	470.0
336	451.0
338	430.0
340	408.0
342	385.0
344	353.0
346	314.0
348	276.0
350	232.0
352	180.0
354	124.0
356	59.7
358	-7.1
360	-92.6
