xSum_mm,ySum_mm
171,-0.24084242701942
172,-0.241082879649427
173,-0.241309102498676
174,-0.241521094835034
175,-0.24171785592637
176,-0.241899385040551
177,-0.242066681445445
178,-0.242218744408921
179,-0.242355573198847
180,-0.24247716708309
181,-0.242584525329518
182,-0.242676647206
183,-0.242753532223845
184,-0.242816180868127
185,-0.242862593867362
186,-0.242894771950066
187,-0.242912715844755
188,-0.242914426279944
189,-0.24290090398415
190,-0.242873149685888
191,-0.242829164113674
192,-0.242769947996024
193,-0.242697502061453
194,-0.242607827038478
195,-0.242502923655614
196,-0.242384792641378
197,-0.242249434724284
198,-0.242098850632849
199,-0.241934041095588
200,-0.241754006841018
201,-0.241557748597653
202,-0.241346267094011
203,-0.241120563058607
204,-0.240877637219956
205,-0.240620490306575
206,-0.240348123046979
207,-0.240059536169683
208,-0.239755730403205
209,-0.23943770647606
210,-0.239102465116762
211,-0.23875200705383
212,-0.238387333015777
213,-0.23800644373112
214,-0.237609339928375
215,-0.237197022336057
216,-0.236769491682683
217,-0.236325748696768
218,-0.235865794106828
219,-0.235391628641379
220,-0.234901253060161
221,-0.234394668841069
222,-0.233873878180156
223,-0.233335883304696
224,-0.232781686441966
225,-0.232213289819241
226,-0.231628695663798
227,-0.231027906202911
228,-0.230411923663857
229,-0.229778750273912
230,-0.229130388260351
231,-0.228466839850449
232,-0.227787107271483
233,-0.227091192750729
234,-0.226380098515462
235,-0.225651826792958
236,-0.224907379810492
237,-0.224148759795341
238,-0.22337296897478
239,-0.222581009576085
240,-0.221772883826531
241,-0.220949593953395
242,-0.220110142183952
243,-0.219253530745478
244,-0.218381761865249
245,-0.21749383777054
246,-0.216588760688628
247,-0.215669532846787
248,-0.214732156472294
249,-0.213779633792424
250,-0.212810967034454
251,-0.211825158425658
252,-0.210823210193313
253,-0.209806124564695
254,-0.208771903767078
255,-0.20772155002774
256,-0.206655065573955
257,-0.205571452633
258,-0.204471713664131
259,-0.20335585205453
260,-0.20222387142336
261,-0.201074775389783
262,-0.199909567572963
263,-0.198728251592061
264,-0.197529831066242
265,-0.196315309614667
266,-0.195084690856499
267,-0.193836978410902
268,-0.192572175897038
269,-0.191292286934069
270,-0.189994315141159
271,-0.188680264137471
272,-0.187350137542166
273,-0.186002938974408
274,-0.18463867205336
275,-0.183258340398185
276,-0.181860947628044
277,-0.180446497362102
278,-0.17901699321952
279,-0.177568438819462
280,-0.176103837781091
281,-0.174622193723568
282,-0.173125510266057
283,-0.171610791027721
284,-0.170078039627723
285,-0.168530259685225
286,-0.166965454819389
287,-0.16538262864938
288,-0.163783784794359
289,-0.16216792687349
290,-0.160534058505934
291,-0.158884183310856
292,-0.157217304907417
293,-0.155532426914781
294,-0.15383255295211
295,-0.152113686675217
296,-0.150377832582867
297,-0.148625996016775
298,-0.146856182355306
299,-0.145069396976827
300,-0.143264645259703
301,-0.141444932582301
302,-0.139606264322985
303,-0.137750645860122
304,-0.135878082572077
305,-0.133988579837216
306,-0.132081143033905
307,-0.13015677754051
308,-0.128214488735395
309,-0.126255281996928
310,-0.124279162703474
311,-0.122285136233398
312,-0.120274207965067
313,-0.118246383276846
314,-0.1161996675471
315,-0.114136066154196
316,-0.1120555844765
317,-0.109957227892376
318,-0.107841001780191
319,-0.105706911518311
320,-0.103556962485101
321,-0.101388160058927
322,-0.0992015096181553
323,-0.0969990165411509
324,-0.0947766862062798
325,-0.0925375239919077
326,-0.0902815352764005
327,-0.0880077254381238
328,-0.0857150998554434
329,-0.0834066639067251
330,-0.0810784229703346
331,-0.0787333824246376
332,-0.076370547648
333,-0.0739899241223204
334,-0.0715915177436293
335,-0.0691753345114904
336,-0.0667413804254669
337,-0.0642886614851225
338,-0.0618181836900207
339,-0.0593309530397249
340,-0.0568249755337987
341,-0.0543012571718055
342,-0.0517608039533088
343,-0.0492006218778722
344,-0.0466227169450591
345,-0.0440270952623973
346,-0.0414137654205923
347,-0.0387817384935271
348,-0.0361320256630492
