xSum_mm	ySum_mm
1	-0.00248069918004322
2	-0.00496755032381541
3	-0.00744175936820667
4	-0.00990420872976887
5	-0.0123520808250539
6	-0.0147850580706137
7	-0.017203922883
8	-0.0196117625201432
9	-0.0220066836054868
10	-0.0243889976038531
11	-0.0267570159800639
12	-0.0291124501989415
13	-0.0314525117253078
14	-0.0337771120239849
15	-0.0360890625597948
16	-0.0383884747975597
17	-0.0406754602021015
18	-0.0429496302382423
19	-0.0452110963708042
20	-0.0474589699533923
21	-0.0496939597816191
22	-0.0519154720931054
23	-0.0541230130142544
24	-0.0563168886714699
25	-0.0584988051911552
26	-0.0606692686997138
27	-0.0628260853235492
28	-0.0649726611890649
29	-0.0671068024226643
30	-0.069227415150751
31	-0.0713348054997284
32	-0.073430279596
33	-0.0755133434331051
34	-0.0775836024731263
35	-0.0796405620452819
36	-0.0816844274787903
37	-0.0837165041028698
38	-0.085736497246739
39	-0.0877425122396159
40	-0.0897376544107192
41	-0.0917196290892671
42	-0.093688541604478
43	-0.0956454972855703
44	-0.0975892014617623
45	-0.0995217594622724
46	-0.101441776616319
47	-0.103349558253121
48	-0.105245709701895
49	-0.107129336291861
50	-0.108999943352238
51	-0.110856536212242
52	-0.112700120201093
53	-0.11453010064801
54	-0.116348482882209
55	-0.118152772232911
56	-0.119944374029333
57	-0.121723393600693
58	-0.12349103627621
59	-0.125246607385102
60	-0.126989812256588
61	-0.128720656219886
62	-0.130439344604215
63	-0.132145182738792
64	-0.133838675952836
65	-0.135518429575566
66	-0.137185648936199
67	-0.138840439363955
68	-0.140483406188052
69	-0.142114584737707
70	-0.143732720307144
71	-0.145338307385692
72	-0.146929399657785
73	-0.148507230772861
74	-0.150071354380359
75	-0.151622724129719
76	-0.153162683670379
77	-0.154690496651778
78	-0.156205436723355
79	-0.157707677534548
80	-0.159196102734797
81	-0.16067170597354
82	-0.162134240900217
83	-0.163583801164265
84	-0.165020250415124
85	-0.166443732302233
86	-0.16785447047503
87	-0.169251578582955
88	-0.170634780275445
89	-0.172004569201941
90	-0.173361609011881
91	-0.174706193354703
92	-0.176037245879847
93	-0.177355450236752
94	-0.178659620074855
95	-0.179952219043597
96	-0.181232230792415
97	-0.182499598970749
98	-0.183754217228038
99	-0.18499473921372
100	-0.186222968577234
101	-0.18743783896802
102	-0.188640414035515
103	-0.189829817429159
104	-0.191005172798391
105	-0.192165483792649
106	-0.193311764061372
107	-0.194445347254
108	-0.195566046780947
109	-0.196673925096539
110	-0.197768334416075
111	-0.198848686954857
112	-0.199915954928186
113	-0.200969560551362
114	-0.202009146039688
115	-0.203035833608462
116	-0.204049415472988
117	-0.205050613848564
118	-0.206037320950494
119	-0.207011168994076
120	-0.207972440194614
121	-0.208919326767406
122	-0.209852470927755
123	-0.210772054890961
124	-0.211677670872325
125	-0.212568251087148
126	-0.213444447750731
127	-0.214306393078375
128	-0.215155869285382
129	-0.215991178587051
130	-0.216815113198684
