x	y
0	0.008085448
1	0.00797527113366982
2	0.00787310813392218
3	0.00779654244888034
4	0.00776315752666757
5	0.00779053681540711
6	0.00789626376322222
7	0.00809792181823617
8	0.0084130944285722
9	0.00885936504235358
10	0.00945431710770355
11	0.0102155340727454
12	0.0111605993856023
13	0.0123070964943977
14	0.0136726088472546
15	0.0152747198922964
16	0.0171310130776464
17	0.0192590718514278
18	0.0216764796617638
19	0.0244008199567778
20	0.0274496761845929
21	0.0308406317933324
22	0.0345912702311197
23	0.0387191749460778
24	0.0432419293863302
25	0.048177117
26	0.0535374798568473
27	0.059316394513179
28	0.0655023961469388
29	0.0720840199360705
30	0.0790498010585178
31	0.0863882746922243
32	0.0940879760151339
33	0.10213744020519
34	0.110525202440337
35	0.119239797898518
36	0.128269761757677
37	0.137603629195757
38	0.147230046607756
39	0.157140218380905
40	0.167327906894668
41	0.177786985745563
42	0.188511328530107
43	0.19949480884482
44	0.210731300286217
45	0.222214676450818
46	0.233938810935141
47	0.245897577335702
48	0.25808484924902
49	0.270494500271614
50	0.283120404
51	0.295956566894882
52	0.308997526873707
53	0.322237954718105
54	0.335672521209709
55	0.349295897130149
56	0.363102753261057
57	0.377087760384066
58	0.391245589280805
59	0.405570910732907
60	0.420058395522004
61	0.434702714429726
62	0.449498538237706
63	0.464440537727575
64	0.479523383680964
65	0.494741746879505
66	0.510090298104829
67	0.525563708138568
68	0.541156647762354
69	0.556863787757817
70	0.57267979890659
71	0.588599351990304
72	0.604617117790591
73	0.620727767089081
74	0.636925970667408
75	0.653206399307201
76	0.669563723790092
77	0.685992614897714
78	0.702487743411697
79	0.719043780113674
80	0.735655395785275
81	0.752317261208132
82	0.769024047163877
83	0.785770424434141
84	0.802551063800556
85	0.819360636044753
86	0.836193811948364
87	0.85304526229302
88	0.86990969285576
89	0.88678261430798
90	0.903660342215434
91	0.920539227139286
92	0.937415619640695
93	0.954285870280824
94	0.971146329620835
95	0.987993348221888
96	1.00482327664515
97	1.02163246545177
98	1.03841726520292
99	1.05517402645976
100	1.07189909978346
101	1.08858883573516
102	1.10523958487604
103	1.12184769776725
104	1.13840952496997
105	1.15492141704534
106	1.17137972455453
107	1.1877807980587
108	1.20412098811902
109	1.22039664529664
110	1.23660412015273
111	1.25273976324845
112	1.26879992514496
113	1.28478095640342
114	1.30067920758499
