xSum_mm	ySum_mm
193	-0.240038411438547
194	-0.239946180961522
195	-0.239839888644386
196	-0.239716553558622
197	-0.239579050775716
198	-0.239426530267151
199	-0.239259005904412
200	-0.239076642158982
201	-0.238878855402347
202	-0.238667001905989
203	-0.238438725941393
204	-0.238195338780044
205	-0.237936452693425
206	-0.237661960953022
207	-0.237372072830317
208	-0.237066578596795
209	-0.236745238523941
210	-0.236409706883238
211	-0.23605946094617
212	-0.235693724984223
213	-0.23531300526888
214	-0.234917286071625
215	-0.234506819663943
216	-0.234080577317317
217	-0.233638827303232
218	-0.233182148893172
219	-0.232710019358621
220	-0.232222290939839
221	-0.231719885158931
222	-0.231202514819844
223	-0.230669271695304
224	-0.230121983558034
225	-0.229560650180759
226	-0.228984604336202
227	-0.228393513797089
228	-0.227786886336143
229	-0.227164699726088
230	-0.226525211739649
231	-0.225866830149551
232	-0.225192192728517
233	-0.224502297249271
234	-0.223797831484538
235	-0.223079193207042
236	-0.222346130189508
237	-0.221598040204659
238	-0.22083490102522
239	-0.220054730423915
240	-0.219257186173469
241	-0.218443016046605
242	-0.217611877816048
243	-0.216765469254522
244	-0.215904088134751
245	-0.21502777222946
246	-0.214136559311372
247	-0.213230337153213
248	-0.212308013527706
249	-0.211367626207576
250	-0.210410122965546
251	-0.209436591574342
252	-0.208447219806687
253	-0.207442855435305
254	-0.206423896232922
255	-0.20538870997226
256	-0.204337664426045
257	-0.203271337367
258	-0.202188426335869
259	-0.20108969794547
260	-0.19997338857664
261	-0.198839714610217
262	-0.197690182427037
263	-0.196526048407939
264	-0.195348088933758
265	-0.194154860385333
266	-0.192943089143501
267	-0.191712171589098
268	-0.190463874102962
269	-0.189199813065931
270	-0.187921364858841
271	-0.186629435862529
272	-0.185322472457834
273	-0.183997541025592
274	-0.18265319794664
275	-0.181292069601815
276	-0.179915242371956
277	-0.178523012637898
278	-0.17711317678048
279	-0.175688071180538
280	-0.174247412218909
281	-0.172791646276432
282	-0.171320359733943
283	-0.169831878972279
284	-0.168324870372277
285	-0.166799080314775
286	-0.165258565180611
287	-0.16370377135062
288	-0.162134365205641
289	-0.16054953312651
290	-0.158946241494066
291	-0.157324856689144
292	-0.155686775092583
293	-0.154033843085219
294	-0.15236597704789
295	-0.150681503324783
296	-0.148977757417133
297	-0.147255503983225
298	-0.145515647644694
299	-0.143760303023173
300	-0.141990224740297
301	-0.140203667417699
302	-0.138397335677015
303	-0.136572154139878
304	-0.134729717427923
305	-0.132871220162784
306	-0.130997456966095
307	-0.12910702245949
308	-0.127198911264605
309	-0.125271518003072
310	-0.123328137296526
311	-0.121369063766602
312	-0.119394392034933
313	-0.117403516723154
314	-0.1153961324529
315	-0.113370733845804
316	-0.1113266155235
