50.029 0.0
51.011 -0.9112828990440224
52.0065 -1.81551329049153
53.001 -2.7131948008805553
54.013 -3.6040377715258995
55.0015 -4.487266362314626
56.0015 -5.364481695342965
57.0215 -6.2358112869968645
58.007 -7.100007981012382
59.007 -7.956591250022021
60.0095 -8.80609338542966
61.0055 -9.648686051762102
62.022 -10.483503014409033
63.0265 -11.312219508980942
64.003 -12.133970091960173
65.023 -12.949254269570073
66.0015 -13.756859511393195
67.026 -14.557719335693882
68.008 -15.351630442925423
69.0055 -16.13861555155746
70.035 -16.917890093124964
71.0285 -17.69110401250771
72.016 -18.457396470037498
73.002 -19.216485864480543
74.0375 -19.96998495686706
75.0235 -20.71576801661053
76.01 -21.45475181851749
77.007 -22.186709041776858
78.015 -22.91094952151085
78.9965 -23.628654930878113
80.0185 -24.339566369115694
81.0045 -25.04407768596043
82.0085 -25.742915164026737
83.0035 -26.433854823662454
84.027 -27.118091985398497
85.017 -27.79534364394776
86.001 -28.465118363539002
87.0325 -29.129073900845672
88.0215 -29.783713971300557
89.006 -30.433081771711667
90.004 -31.07504154583012
91.0335 -31.710229568582758
92.023 -32.33796107947633
93.014 -32.9586154196857
94.001 -33.57175020241459
95.028 -34.1782993884225
96.006 -34.778676073827214
97.008 -35.37151689596851
98.005 -35.95736636981075
99.0285 -36.5356852207013
100.0105 -37.10754830611157
101.0045 -37.67302694110814
102.036 -38.23122421045023
103.017 -38.782313625295345
103.9975 -39.32679336437853
105.0225 -39.863081461079
106.0015 -40.39340531759758
107.013 -40.917470818391756
108.004 -41.433326142103475
109.0335 -41.94267853576299
110.0265 -42.44575457955587
111.017 -42.941346426119964
111.9995 -43.429137820242225
113.0275 -43.910643006336954
114.0135 -44.38497773955585
115.0 -44.853471400725894
116.028 -45.31497483833266
117.0215 -45.768505133388715
118.004 -46.214573543901096
119.0235 -46.653878996301444
120.007 -47.08734349692555
121.0035 -47.51349136463427
122.0445 -47.93129602166366
123.031 -48.342804749282564
124.021 -48.747736633450714
124.9985 -49.14556416513084
126.024 -49.53726554388211
127.0095 -49.921535611767844
128.004 -50.29903553674055
129.039 -50.669136304493044
130.019 -51.03285222100163
130.9985 -51.3891925980053
132.0295 -51.73847932206417
133.014 -52.07989171444471
134.0025 -52.41519484396115
135.039 -52.74253718075481
136.0215 -53.06269549212125
137.004 -53.37587936471231
138.026 -53.68335048497478
139.016 -53.98316545663242
139.9985 -54.27545079740265
141.021 -54.56166151268271
142.0095 -54.83998998606008
142.9955 -55.11238680585421
144.0245 -55.37679410071875
145.0085 -55.63469790875247
146.002 -55.8863896834493
147.039 -56.13078713348453
148.028 -56.367208820920936
149.021 -56.5962707543137
150.009 -56.81924349176452
151.008 -57.03496444101117
152.003 -57.24352426090834
153.023 -57.44437427774076
154.008 -57.6390046531567
155.0045 -57.82645901794602
156.0255 -58.00680395195186
157.011 -58.18063699007812
158.007 -58.34720045521334
159.004 -58.506872456887166
160.024 -58.65920180706014
161.0095 -58.803781785201636
162.009 -58.941918061512396
162.9995 -59.07249667281883
164.021 -59.196088568581345
165.003 -59.313253937347035
166.01 -59.42328521234388
167.0035 -59.52587872773517
168.032 -59.620990013438366
169.0205 -59.709146652434136
170.0045 -59.79079406628932
171.011 -59.86587900003333
172.004 -59.934232195024656
173.03 -59.99422008909852
174.015 -60.04747096430514
174.9965 -60.09322457816088
176.0225 -60.13251530818183
177.0105 -60.16414962662359
178.005 -60.18909057463472
179.036 -60.20751030530051
180.0225 -60.21831369490349
181.005 -60.223294818609745
182.0205 -60.21935317538596
183.004 -60.20893380212983
184.024 -60.191002699857535
185.008 -60.166644529412366
186.005 -60.13595448576076
187.0355 -60.096335941221795
188.021 -60.05068017484831
189.002 -59.99721745885704
190.0175 -59.93789280151623
190.995 -59.8715021035445
192.02 -59.79726650027404
193.0015 -59.715807235964604
194.017 -59.62742770882375
194.9985 -59.53216752168058
196.0215 -59.43029004962538
197.0015 -59.3201855727821
198.025 -59.20310519509079
199.015 -59.07949081025692
200.004 -58.94936968595234
201.038 -58.81158872151747
202.021 -58.666535186735594
203.0135 -58.51419216084944
204.001 -58.35421138397247
205.012 -58.18707655265087
206.001 -58.013319455218905
207.0285 -57.83279774282654
208.015 -57.644794506477076
209.003 -57.45056508311906
210.0125 -57.24962178188565
211.0005 -57.040529378725616
212.024 -56.82485765212859
213.0065 -56.60229882507717
214.006 -56.37228738429347
215.0045 -56.13474697043215
216.0105 -55.88974688198566
216.999 -55.63803746730346
218.0185 -55.37958135259064
218.999 -55.11420740695263
220.0155 -54.84141069342267
220.997 -54.56096497568479
222.021 -54.27352465557015
223.007 -53.97862019932663
224.007 -53.67714862779223
225.006 -53.36842560148659
226.0085 -53.0530816870538
227.001 -52.73033119580261
228.0205 -52.3991908017241
229.0045 -52.06136904688712
230.015 -51.717248441576324
230.997 -51.36499973757289
232.023 -51.006373136557414
233.0125 -50.64068483012432
234.0045 -50.26744543468423
235.0355 -49.88758147576077
236.0245 -49.500088930043276
237.006 -49.10549126849314
238.009 -48.703868169432994
238.9975 -48.29449248937885
240.0245 -47.87812606825572
241.018 -47.45532462229493
241.9985 -47.02535361855573
243.019 -46.58775502206204
243.999 -46.14359052413021
245.0245 -45.69226529161981
246.009 -45.23314576844993
247.004 -44.76636260217465
248.039 -44.29258989376084
249.0275 -43.81115994583979
250.018 -43.32262376499897
251.0035 -42.82743705969156
252.021 -42.3256681670596
253.0115 -41.816724450889204
254.005 -41.29994258365355
255.0335 -40.77608447945312
256.0235 -40.24542261955735
257.009 -39.70744430609519
