!---------------------------------------------------------------------------------
!SCANNED AXIS: Motor5
!KIND OF MOVEMENT: Absolute
!START POSITION: 28.0100 mm
!STOP POSITION: 328.0070 mm
!NUMBER OF STEPS: 300
!STEP VALUE: 1.0 mm
!SCAN TIME: 0.1 s
!---------------------------------------------------------------------------------

28.0100 -0.0031338040432941703   -1623.9    -199.8
29.0090 -0.003115410236831011   -1613.2    -200.0
30.0040 -0.003097939717293423   -1603.0    -199.4
31.0030 -0.003080621778720158   -1592.9    -198.0
32.0010 -0.0030629794030553525   -1582.5    -197.0
33.0020 -0.003045901652479921   -1572.6    -195.2
34.0080 -0.0030287435480996164   -1562.5    -194.2
35.0040 -0.00301172005195824   -1552.6    -193.1
35.9960 -0.002994789195711822   -1542.7    -192.0
37.0015 -0.0029770175920182853   -1532.3    -192.3
37.9985 -0.0029602794697933025   -1522.5    -191.8
39.0015 -0.002943295373836551   -1512.6    -192.1
40.0030 -0.0029257306379491268   -1502.3    -192.2
40.9995 -0.0029085567417938647   -1492.3    -192.2
41.9980 -0.0028925163926300543   -1482.9    -191.7
42.9965 -0.0028756008475412267   -1473.0    -192.5
44.0015 -0.00285777396429166   -1462.6    -190.4
44.9990 -0.002841863978768298   -1453.3    -190.2
46.0020 -0.0028245569868558845   -1443.2    -188.9
47.0075 -0.0028072632263462325   -1433.0    -187.0
48.0025 -0.002789547241004078   -1422.7    -186.6
48.9980 -0.002773855692994565   -1413.5    -184.9
49.9960 -0.002756933068040639   -1403.6    -184.8
50.9980 -0.002740820204959009   -1394.2    -183.5
51.9995 -0.0027239943900866427   -1384.4    -184.8
52.9980 -0.002706250189965635   -1374.0    -183.8
54.0025 -0.0026902800023286873   -1364.7    -184.7
55.0025 -0.0026736812572431493   -1354.9    -183.7
56.0070 -0.0026577103330472397   -1345.6    -183.8
57.0010 -0.0026412408189507427   -1336.0    -183.4
58.0015 -0.0026247706442311647   -1326.4    -181.6
59.0135 -0.002607114304709041   -1316.0    -180.4
60.0030 -0.002590210587579546   -1306.2    -180.2
61.0010 -0.002573466389757584   -1296.4    -177.1
62.0060 -0.0025571724307807795   -1286.8    -176.7
62.9965 -0.002541684994289186   -1277.8    -176.2
64.0150 -0.0025243628068321636   -1267.7    -176.0
65.0130 -0.002507131366269573   -1257.6    -175.9
65.9965 -0.002491496520917201   -1248.4    -176.4
67.0005 -0.002474724577286182   -1238.6    -175.7
68.0180 -0.0024573103839340767   -1228.5    -176.1
69.0070 -0.00244154801954199   -1219.2    -175.2
70.0015 -0.0024260537583914916   -1210.2    -175.2
70.9990 -0.0024094136540130256   -1200.5    -172.6
72.0235 -0.0023925149516574743   -1190.6    -170.7
73.0185 -0.002377025878631607   -1181.5    -168.8
73.9965 -0.002360829552468622   -1172.1    -169.0
74.9995 -0.0023439820922302322   -1162.2    -167.5
76.0245 -0.0023268685311995867   -1152.2    -168.5
77.0120 -0.0023097039314405174   -1142.2    -167.9
78.0020 -0.0022938467853079133   -1132.9    -168.3
78.9955 -0.0022781053347958142   -1123.7    -168.1
80.0225 -0.002262130500367383   -1114.4    -167.6
81.0070 -0.00224356516350953   -1103.5    -166.8
82.0040 -0.0022288208206452218   -1094.9    -165.3
82.9985 -0.0022117666442296106   -1084.9    -164.0
84.0255 -0.002196279173049135   -1075.9    -162.9
85.0120 -0.0021800790384793813   -1066.4    -161.8
86.0045 -0.002163841627974383   -1056.9    -161.2
86.9960 -0.0021486163382430814   -1048.0    -160.1
88.0210 -0.0021325414409120577   -1038.6    -159.7
89.0145 -0.0021170969436389276   -1029.6    -160.0
90.0010 -0.0020999456291674588   -1019.5    -159.8
91.0095 -0.002083638567194525   -1010.0    -158.6
92.0220 -0.0020678857707360013   -1000.8    -157.3
93.0175 -0.0020516512319849202    -991.3    -157.1
93.9975 -0.00203540267877128    -981.8    -155.9
95.0080 -0.0020203091981877423    -973.0    -153.7
96.0210 -0.0020020861604230908    -962.3    -151.6
97.0080 -0.0019875332971773674    -953.8    -150.5
98.0085 -0.0019709475315017487    -944.1    -149.9
99.0160 -0.001954943674171462    -934.8    -148.6
100.0025 -0.0019388067238668041    -925.3    -149.2
101.0205 -0.001922460071918656    -915.8    -148.6
102.0160 -0.0019069522719734097    -906.7    -148.0
103.0045 -0.0018908399134847961    -897.3    -148.0
104.0090 -0.001875229769777631    -888.2    -146.7
105.0165 -0.0018588838010361354    -878.6    -147.1
105.9995 -0.0018437331134027678    -869.8    -147.0
107.0135 -0.001827214887807772    -860.1    -144.1
108.0180 -0.0018117939598081734    -851.1    -142.6
109.0025 -0.001795842660709488    -841.8    -141.9
110.0295 -0.0017795422623349533    -832.2    -139.7
111.0230 -0.001763683582960675    -823.0    -138.6
112.0090 -0.0017482358153438904    -813.9    -139.6
113.0080 -0.0017328953499894312    -805.0    -139.8
114.0175 -0.0017165132111198402    -795.4    -139.4
115.0155 -0.0017006649051737332    -786.1    -139.7
115.9955 -0.0016848806050909664    -776.9    -139.5
117.0205 -0.0016679872371111093    -767.0    -138.0
118.0220 -0.0016527945719383992    -758.1    -136.7
119.0180 -0.0016366543392807784    -748.7    -135.3
120.0055 -0.0016214065774157052    -739.8    -134.3
120.9980 -0.0016056331236367445    -730.6    -133.3
122.0255 -0.0015893610578858433    -721.0    -130.8
123.0170 -0.0015737234538759242    -711.9    -130.0
124.0030 -0.001558850539698611    -703.2    -130.7
125.0295 -0.001542678657695478    -693.8    -129.7
126.0265 -0.0015262768658439588    -684.2    -129.9
127.0205 -0.0015107170465410197    -675.1    -130.4
128.0085 -0.0014947938195752901    -665.8    -130.8
129.0085 -0.0014793930670999988    -656.8    -130.6
130.0175 -0.001463517581628139    -647.5    -129.2
130.9965 -0.0014483569526970474    -638.6    -128.6
132.0295 -0.0014318708661556151    -629.0    -126.2
133.0260 -0.0014162420585382566    -619.8    -124.9
134.0085 -0.0014009807953767404    -610.9    -124.1
135.0040 -0.0013855331382175043    -601.9    -122.8
136.0065 -0.0013698065386901531    -592.7    -122.8
137.0275 -0.0013536148680837097    -583.2    -123.1
138.0080 -0.001337688843787241    -573.9    -123.2
139.0180 -0.0013217796698838781    -564.6    -122.4
140.0025 -0.0013071490103883322    -556.1    -122.8
140.9930 -0.0012914893571664018    -546.9    -121.2
142.0215 -0.0012758041767850286    -537.7    -120.4
143.0105 -0.0012609128643342512    -529.0    -119.5
144.0090 -0.0012443449860280594    -519.3    -119.0
145.0090 -0.0012300458695900633    -511.0    -117.2
146.0075 -0.0012137066257454107    -501.4    -116.5
147.0145 -0.0011977020588186075    -492.1    -115.6
148.0060 -0.0011816327535141093    -482.7    -116.7
148.9955 -0.0011657273104876964    -473.4    -116.3
150.0270 -0.001150865975271352    -464.7    -114.8
151.0215 -0.0011351473783746933    -455.5    -114.7
152.0120 -0.00112083273972908    -447.1    -114.5
153.0020 -0.0011052157481239954    -438.0    -114.1
154.0060 -0.001088544052883965    -428.3    -110.9
155.0255 -0.0010725340827626832    -418.9    -109.5
156.0205 -0.0010569938442465472    -409.8    -108.1
157.0075 -0.0010418563286228714    -401.0    -107.4
158.0105 -0.0010267267371392803    -392.1    -106.1
158.9955 -0.0010124582025602706    -383.8    -106.1
160.0085 -9.964535030335857E-4    -374.4    -105.2
161.0230 -9.81065024588566E-4    -365.4    -105.1
162.0270 -9.650129709378571E-4    -356.0    -104.6
163.0145 -9.500364801835505E-4    -347.3    -104.9
164.0035 -9.342573470262605E-4    -338.1    -104.9
165.0235 -9.188205644441292E-4    -329.0    -103.6
166.0195 -9.036760107807071E-4    -320.2    -103.5
167.0075 -8.879884231362661E-4    -311.0    -102.9
168.0085 -8.729981559356026E-4    -302.3    -101.4
169.0040 -8.569487137102622E-4    -292.9    -100.7
170.0275 -8.412942649435704E-4    -283.7     -98.1
171.0030 -8.263927132344611E-4    -275.0     -98.2
172.0180 -8.109654109629762E-4    -266.0     -97.5
173.0080 -7.956383171796805E-4    -257.0     -98.0
174.0040 -7.801867330603577E-4    -248.0     -98.4
175.0280 -7.64518021712356E-4    -238.8     -97.5
176.0250 -7.495148121373722E-4    -230.1     -97.6
177.0190 -7.353118712684377E-4    -221.8     -98.0
178.0010 -7.195941045903821E-4    -212.6     -97.5
179.0260 -7.042258728901327E-4    -203.6     -95.3
180.0165 -6.890070121607681E-4    -194.7     -94.1
181.0080 -6.737827866334386E-4    -185.8     -92.1
182.0085 -6.591601289125906E-4    -177.2     -91.2
183.0100 -6.43704688955795E-4    -168.2     -90.4
184.0080 -6.279968698577541E-4    -159.0     -91.2
185.0100 -6.128535138457378E-4    -150.2     -91.0
186.0050 -5.977018304846575E-4    -141.3     -91.4
187.0030 -5.823038130746668E-4    -132.3     -89.5
188.0235 -5.666529394664538E-4    -123.2     -89.7
189.0135 -5.523095590871156E-4    -114.8     -90.3
189.9970 -5.370753126849078E-4    -105.9     -90.6
191.0260 -5.209288714692898E-4     -96.4     -88.7
192.0275 -5.061557317585439E-4     -87.8     -87.3
193.0205 -4.910759542726487E-4     -79.0     -85.5
194.0020 -4.767233191011493E-4     -70.6     -85.6
195.0260 -4.6061222613390224E-4     -61.2     -82.9
196.0135 -4.4557300987402374E-4     -52.4     -82.7
197.0230 -4.299963369713183E-4     -43.3     -82.7
198.0095 -4.156492561468121E-4     -34.9     -83.5
199.0180 -3.9976930827251555E-4     -25.6     -82.7
200.0050 -3.8518316646496257E-4     -17.1     -83.6
200.9950 -3.705859717516781E-4      -8.5     -82.0
202.0290 -3.5541807448783184E-4       0.3     -81.6
203.0275 -3.3994655407384403E-4       9.4     -80.7
204.0175 -3.256085756255628E-4      17.7     -79.7
204.9980 -3.1117119716193E-4      26.2     -79.6
206.0250 -2.959189878625858E-4      35.1     -77.1
207.0285 -2.79974537242598E-4      44.4     -75.9
208.0200 -2.653342453962345E-4      53.0     -75.7
209.0020 -2.503582387452447E-4      61.7     -77.0
210.0135 -2.3465009618615755E-4      70.9     -76.2
211.0070 -2.2004647690964952E-4      79.5     -76.9
211.9965 -2.060323001514807E-4      87.7     -77.0
213.0235 -1.8886986248300796E-4      97.7     -75.4
214.0180 -1.7418029981344137E-4     106.3     -74.5
215.0075 -1.590880191380048E-4     115.1     -73.4
215.9970 -1.45789423986054E-4     122.9     -72.4
217.0220 -1.3071042535571146E-4     131.7     -70.1
218.0230 -1.1536548368755442E-4     140.7     -68.5
219.0165 -1.001399599459137E-4     149.6     -67.3
220.0105 -8.54813140052316E-5     158.1     -66.6
221.0045 -7.06810940283119E-5     166.8     -67.8
222.0005 -5.601619477847757E-5     175.4     -66.4
223.0205 -4.108675040500964E-5     184.1     -66.3
224.0195 -2.5561709211252054E-5     193.2     -66.5
225.0070 -1.0939288796416768E-5     201.7     -66.5
226.0135 4.613245958573106E-6     210.8     -66.3
226.9950 1.8983844551023565E-5     219.2     -65.6
228.0080 3.3515529792931876E-5     227.7     -63.9
229.0240 4.823307573306427E-5     236.3     -62.7
230.0130 6.317527673242217E-5     245.0     -61.3
230.9965 7.778074760994145E-5     253.6     -60.9
232.0155 9.21853731372567E-5     262.0     -58.7
233.0235 1.0775000900356587E-4     271.1     -59.5
234.0165 1.2226325263960623E-4     279.6     -59.8
235.0080 1.3690670555467304E-4     288.1     -59.7
236.0080 1.5222562027756407E-4     297.1     -59.3
237.0105 1.667768028156996E-4     305.6     -59.8
238.0025 1.8102911872345555E-4     313.9     -60.3
239.0280 1.9573412590093186E-4     322.5     -57.8
240.0105 2.1088188451381072E-4     331.4     -56.1
240.9995 2.2557391597118593E-4     340.0     -55.6
242.0270 2.4042384241920265E-4     348.7     -54.0
243.0180 2.559998236751025E-4     357.8     -52.6
244.0060 2.701419125050316E-4     366.0     -52.6
245.0020 2.839130414491519E-4     374.1     -52.7
246.0285 3.0047940758096484E-4     383.8     -51.7
247.0165 3.142775829743533E-4     391.8     -52.6
247.9990 3.287861688495279E-4     400.3     -52.6
249.0325 3.437926702667585E-4     409.1     -51.4
250.0225 3.584262886970646E-4     417.6     -51.6
251.0035 3.7252576551217173E-4     425.9     -52.5
252.0270 3.8664062300522423E-4     434.1     -50.4
253.0140 4.017137066497965E-4     442.9     -49.5
253.9995 4.158285642759114E-4     451.2     -47.9
