!---------------------------------------------------------------------------------
!SCANNED AXIS: Motor5
!KIND OF MOVEMENT: Absolute
!START POSITION: 28.0210 mm
!STOP POSITION: 328.0055 mm
!NUMBER OF STEPS: 300
!STEP VALUE: 1.0 mm
!SCAN TIME: 0.1 s
!---------------------------------------------------------------------------------

28.0210 -0.0028848128402855265   -1478.4    -204.0
29.0035 -0.0028712410048184556   -1470.4    -203.5
30.0025 -0.0028600495354100916   -1463.9    -202.4
31.0070 -0.0028460093124575013   -1455.7    -203.5
32.0055 -0.002833593489290067   -1448.4    -204.5
33.0030 -0.0028212971910088944   -1441.2    -203.7
34.0080 -0.002808178713483806   -1433.6    -203.6
35.0065 -0.002795673054571916   -1426.3    -203.4
36.0225 -0.002782552937271814   -1418.6    -202.0
37.0035 -0.0027691033401401484   -1410.7    -202.6
38.0030 -0.0027578083008338292   -1404.1    -201.1
39.0055 -0.0027460507939143963   -1397.3    -200.4
40.0000 -0.0027326528680011995   -1389.4    -200.7
41.0250 -0.002720054486462111   -1382.1    -199.2
42.0090 -0.0027068765596696773   -1374.4    -198.4
43.0095 -0.0026946748069043157   -1367.2    -197.4
44.0175 -0.0026829784848204944   -1360.4    -196.2
45.0020 -0.002669915952905517   -1352.7    -196.3
45.9995 -0.002657469604805965   -1345.5    -194.6
47.0080 -0.002645494418313731   -1338.5    -193.8
48.0095 -0.0026332687508846425   -1331.3    -193.7
49.0140 -0.002620188111485458   -1323.7    -192.0
50.0055 -0.002607856950329453   -1316.5    -193.1
51.0075 -0.002596289816202821   -1309.7    -192.4
52.0140 -0.002582178078423869   -1301.5    -192.8
53.0050 -0.0025700132642329765   -1294.3    -193.0
54.0010 -0.0025572578270582776   -1286.9    -191.2
55.0110 -0.0025445168409181226   -1279.4    -190.8
55.9965 -0.0025327272404644476   -1272.5    -191.3
57.0150 -0.0025199220293603123   -1265.1    -189.7
57.9970 -0.0025077564465773136   -1257.9    -189.3
59.0155 -0.002495431907608887   -1250.7    -187.8
60.0120 -0.002483628256162796   -1243.8    -186.6
61.0065 -0.0024701408970311286   -1236.0    -185.2
62.0100 -0.0024576282112659885   -1228.6    -183.6
63.0050 -0.00244578411086144   -1221.7    -182.3
64.0240 -0.0024327052660848406   -1214.1    -180.7
65.0120 -0.002419553850732389   -1206.4    -179.7
66.0015 -0.002408270854340217   -1199.8    -179.1
67.0060 -0.002394591731018992   -1191.8    -177.3
68.0180 -0.002381123085343003   -1183.9    -175.9
68.9980 -0.002369469470621592   -1177.1    -176.8
70.0185 -0.002356911322460718   -1169.8    -175.9
71.0125 -0.0023439612840507004   -1162.2    -176.0
72.0025 -0.002331300837403608   -1154.8    -176.6
73.0040 -0.002317596683512952   -1146.8    -174.5
74.0120 -0.0023050362925026305   -1139.4    -174.4
